00A0 ! 0020 # <noBreak>
1F06 = 03B1 0313 0342
1F07 = 1F01 0342
1F07 = 03B1 0314 0342
1F08 = 0391 0313
1F09 = 0391 0314
1F0A = 1F08 0300
1F0A = 0391 0313 0300
1F0B = 1F09 0300
1F0B = 0391 0314 0300
1F0C = 1F08 0301
1F0C = 0391 0313 0301
1F0D = 1F09 0301
1F0D = 0391 0314 0301
1F0E = 1F08 0342
1F0E = 0391 0313 0342
1F0F = 1F09 0342
1F0F = 0391 0314 0342
1F10 = 03B5 0313
1F11 = 03B5 0314
1F12 = 1F10 0300
1F12 = 03B5 0313 0300
1F13 = 1F11 0300
1F13 = 03B5 0314 0300
1F14 = 1F10 0301
1F14 = 03B5 0313 0301
1F15 = 1F11 0301
1F15 = 03B5 0314 0301
1F18 = 0395 0313
1F19 = 0395 0314
1F1A = 1F18 0300
1F1A = 0395 0313 0300
1F1B = 1F19 0300
1F1B = 0395 0314 0300
1F1C = 1F18 0301
1F1C = 0395 0313 0301
1F1D = 1F19 0301
1F1D = 0395 0314 0301
1F20 = 03B7 0313
1F21 = 03B7 0314
1F22 = 1F20 0300
1F22 = 03B7 0313 0300
1F23 = 1F21 0300
1F23 = 03B7 0314 0300
1F24 = 1F20 0301
1F24 = 03B7 0313 0301
1F25 = 1F21 0301
1F25 = 03B7 0314 0301
1F26 = 1F20 0342
1F26 = 03B7 0313 0342
1F27 = 1F21 0342
1F27 = 03B7 0314 0342
1F28 = 0397 0313
1F29 = 0397 0314
1F2A = 1F28 0300
1F2A = 0397 0313 0300
1F2B = 1F29 0300
1F2B = 0397 0314 0300
1F2C = 1F28 0301
1F2C = 0397 0313 0301
1F2D = 1F29 0301
1F2D = 0397 0314 0301
1F2E = 1F28 0342
1F2E = 0397 0313 0342
1F2F = 1F29 0342
1F2F = 0397 0314 0342
1F30 = 03B9 0313
1F31 = 03B9 0314
1F32 = 1F30 0300
1F32 = 03B9 0313 0300
1F33 = 1F31 0300
1F33 = 03B9 0314 0300
1F34 = 1F30 0301
1F34 = 03B9 0313 0301
1F35 = 1F31 0301
1F35 = 03B9 0314 0301
1F36 = 1F30 0342
1F36 = 03B9 0313 0342
1F37 = 1F31 0342
1F37 = 03B9 0314 0342
1F38 = 0399 0313
1F39 = 0399 0314
1F3A = 1F38 0300
1F3A = 0399 0313 0300
1F3B = 1F39 0300
1F3B = 0399 0314 0300
1F3C = 1F38 0301
1F3C = 0399 0313 0301
1F3D = 1F39 0301
1F3D = 0399 0314 0301
1F3E = 1F38 0342
1F3E = 0399 0313 0342
1F3F = 1F39 0342
1F3F = 0399 0314 0342
1F40 = 03BF 0313
1F41 = 03BF 0314
1F42 = 1F40 0300
1F42 = 03BF 0313 0300
1F43 = 1F41 0300
1F43 = 03BF 0314 0300
1F44 = 1F40 0301
1F44 = 03BF 0313 0301
1F45 = 1F41 0301
1F45 = 03BF 0314 0301
1F48 = 039F 0313
1F49 = 039F 0314
1F4A = 1F48 0300
1F4A = 039F 0313 0300
1F4B = 1F49 0300
1F4B = 039F 0314 0300
1F4C = 1F48 0301
1F4C = 039F 0313 0301
1F4D = 1F49 0301
1F4D = 039F 0314 0301
1F50 = 03C5 0313
1F51 = 03C5 0314
1F52 = 1F50 0300
1F52 = 03C5 0313 0300
1F53 = 1F51 0300
1F53 = 03C5 0314 0300
1F54 = 1F50 0301
1F54 = 03C5 0313 0301
1F55 = 1F51 0301
1F55 = 03C5 0314 0301
1F56 = 1F50 0342
1F56 = 03C5 0313 0342
1F57 = 1F51 0342
1F57 = 03C5 0314 0342
1F59 = 03A5 0314
1F5B = 1F59 0300
1F5B = 03A5 0314 0300
1F5D = 1F59 0301
1F5D = 03A5 0314 0301
1F5F = 1F59 0342
1F5F = 03A5 0314 0342
1F60 = 03C9 0313
1F61 = 03C9 0314
1F62 = 1F60 0300
1F62 = 03C9 0313 0300
1F63 = 1F61 0300
1F63 = 03C9 0314 0300
1F64 = 1F60 0301
1F64 = 03C9 0313 0301
1F65 = 1F61 0301
1F65 = 03C9 0314 0301
1F66 = 1F60 0342
1F66 = 03C9 0313 0342
1F67 = 1F61 0342
1F67 = 03C9 0314 0342
1F68 = 03A9 0313
1F69 = 03A9 0314
1F6A = 1F68 0300
1F6A = 03A9 0313 0300
1F6B = 1F69 0300
1F6B = 03A9 0314 0300
1F6C = 1F68 0301
1F6C = 03A9 0313 0301
1F6D = 1F69 0301
1F6D = 03A9 0314 0301
1F6E = 1F68 0342
1F6E = 03A9 0313 0342
1F6F = 1F69 0342
1F6F = 03A9 0314 0342
1F70 = 03B1 0300
1F71 = 03AC
1F71 = 03B1 0301
1F72 = 03B5 0300
1F73 = 03AD
1F73 = 03B5 0301
1F74 = 03B7 0300
1F75 = 03AE
1F75 = 03B7 0301
1F76 = 03B9 0300
1F77 = 03AF
1F77 = 03B9 0301
1F78 = 03BF 0300
1F79 = 03CC
1F79 = 03BF 0301
1F7A = 03C5 0300
1F7B = 03CD
1F7B = 03C5 0301
1F7C = 03C9 0300
1F7D = 03CE
1F7D = 03C9 0301
1F80 = 1F00 0345
1F80 = 03B1 0313 0345
1F81 = 1F01 0345
1F81 = 03B1 0314 0345
1F82 = 1F02 0345
1F82 = 1F00 0300 0345
1F82 = 03B1 0313 0300 0345
1F83 = 1F03 0345
1F83 = 1F01 0300 0345
1F83 = 03B1 0314 0300 0345
1F84 = 1F04 0345
1F84 = 1F00 0301 0345
1F84 = 03B1 0313 0301 0345
1F85 = 1F05 0345
1F85 = 1F01 0301 0345
1F85 = 03B1 0314 0301 0345
1F86 = 1F06 0345
1F86 = 1F00 0342 0345
1F86 = 03B1 0313 0342 0345
1F87 = 1F07 0345
1F87 = 1F01 0342 0345
1F87 = 03B1 0314 0342 0345
1F88 = 1F08 0345
1F88 = 0391 0313 0345
1F89 = 1F09 0345
1F89 = 0391 0314 0345
1F8A = 1F0A 0345
1F8A = 1F08 0300 0345
1F8A = 0391 0313 0300 0345
1F8B = 1F0B 0345
1F8B = 1F09 0300 0345
1F8B = 0391 0314 0300 0345
1F8C = 1F0C 0345
1F8C = 1F08 0301 0345
1F8C = 0391 0313 0301 0345
1F8D = 1F0D 0345
1F8D = 1F09 0301 0345
1F8D = 0391 0314 0301 0345
1F8E = 1F0E 0345
1F8E = 1F08 0342 0345
1F8E = 0391 0313 0342 0345
1F8F = 1F0F 0345
1F8F = 1F09 0342 0345
1F8F = 0391 0314 0342 0345
1F90 = 1F20 0345
1F90 = 03B7 0313 0345
1F91 = 1F21 0345
1F91 = 03B7 0314 0345
1F92 = 1F22 0345
1F92 = 1F20 0300 0345
1F92 = 03B7 0313 0300 0345
1F93 = 1F23 0345
1F93 = 1F21 0300 0345
1F93 = 03B7 0314 0300 0345
1F94 = 1F24 0345
1F94 = 1F20 0301 0345
1F94 = 03B7 0313 0301 0345
1F95 = 1F25 0345
1F95 = 1F21 0301 0345
1F95 = 03B7 0314 0301 0345
1F96 = 1F26 0345
1F96 = 1F20 0342 0345
1F96 = 03B7 0313 0342 0345
1F97 = 1F27 0345
1F97 = 1F21 0342 0345
1F97 = 03B7 0314 0342 0345
1F98 = 1F28 0345
1F98 = 0397 0313 0345
1F99 = 1F29 0345
1F99 = 0397 0314 0345
1F9A = 1F2A 0345
1F9A = 1F28 0300 0345
1F9A = 0397 0313 0300 0345
1F9B = 1F2B 0345
1F9B = 1F29 0300 0345
1F9B = 0397 0314 0300 0345
1F9C = 1F2C 0345
1F9C = 1F28 0301 0345
1F9C = 0397 0313 0301 0345
1F9D = 1F2D 0345
1F9D = 1F29 0301 0345
1F9D = 0397 0314 0301 0345
1F9E = 1F2E 0345
1F9E = 1F28 0342 0345
1F9E = 0397 0313 0342 0345
1F9F = 1F2F 0345
1F9F = 1F29 0342 0345
1F9F = 0397 0314 0342 0345
1FA0 = 1F60 0345
1FA0 = 03C9 0313 0345
1FA1 = 1F61 0345
1FA1 = 03C9 0314 0345
1FA2 = 1F62 0345
1FA2 = 1F60 0300 0345
1FA2 = 03C9 0313 0300 0345
1FA3 = 1F63 0345
1FA3 = 1F61 0300 0345
1FA3 = 03C9 0314 0300 0345
1FA4 = 1F64 0345
1FA4 = 1F60 0301 0345
1FA4 = 03C9 0313 0301 0345
1FA5 = 1F65 0345
1FA5 = 1F61 0301 0345
1FA5 = 03C9 0314 0301 0345
1FA6 = 1F66 0345
1FA6 = 1F60 0342 0345
1FA6 = 03C9 0313 0342 0345
1FA7 = 1F67 0345
1FA7 = 1F61 0342 0345
1FA7 = 03C9 0314 0342 0345
1FA8 = 1F68 0345
1FA8 = 03A9 0313 0345
1FA9 = 1F69 0345
1FA9 = 03A9 0314 0345
1FAA = 1F6A 0345
1FAA = 1F68 0300 0345
1FAA = 03A9 0313 0300 0345
1FAB = 1F6B 0345
1FAB = 1F69 0300 0345
1FAB = 03A9 0314 0300 0345
1FAC = 1F6C 0345
1FAC = 1F68 0301 0345
1FAC = 03A9 0313 0301 0345
1FAD = 1F6D 0345
1FAD = 1F69 0301 0345
1FAD = 03A9 0314 0301 0345
1FAE = 1F6E 0345
1FAE = 1F68 0342 0345
1FAE = 03A9 0313 0342 0345
1FAF = 1F6F 0345
1FAF = 1F69 0342 0345
1FAF = 03A9 0314 0342 0345
1FB0 = 03B1 0306
1FB1 = 03B1 0304
1FB2 = 1F70 0345
1FB2 = 03B1 0300 0345
1FB3 = 03B1 0345
1FB4 = 03AC 0345
1FB4 = 03B1 0301 0345
1FB6 = 03B1 0342
1FB7 = 1FB6 0345
1FB7 = 03B1 0342 0345
1FB8 = 0391 0306
1FB9 = 0391 0304
1FBA = 0391 0300
1FBB = 0386
1FBB = 0391 0301
1FBC = 0391 0345
1FBE = 03B9
1FC1 = 00A8 0342
1FC2 = 1F74 0345
1FC2 = 03B7 0300 0345
1FC3 = 03B7 0345
1FC4 = 03AE 0345
1FC4 = 03B7 0301 0345
1FC6 = 03B7 0342
1FC7 = 1FC6 0345
1FC7 = 03B7 0342 0345
1FC8 = 0395 0300
1FC9 = 0388
1FC9 = 0395 0301
1FCA = 0397 0300
1FCB = 0389
1FCB = 0397 0301
1FCC = 0397 0345
1FCD = 1FBF 0300
1FCE = 1FBF 0301
1FCF = 1FBF 0342
1FD0 = 03B9 0306
1FD1 = 03B9 0304
1FD2 = 03CA 0300
1FD2 = 03B9 0308 0300
1FD3 = 0390
1FD3 = 03CA 0301
1FD3 = 03B9 0308 0301
1FD6 = 03B9 0342
1FD7 = 03CA 0342
1FD7 = 03B9 0308 0342
1FD8 = 0399 0306
1FD9 = 0399 0304
1FDA = 0399 0300
1FDB = 038A
1FDB = 0399 0301
1FDD = 1FFE 0300
1FDE = 1FFE 0301
1FDF = 1FFE 0342
1FE0 = 03C5 0306
1FE1 = 03C5 0304
1FE2 = 03CB 0300
1FE2 = 03C5 0308 0300
1FE3 = 03B0
1FE3 = 03CB 0301
1FE3 = 03C5 0308 0301
1FE4 = 03C1 0313
1FE5 = 03C1 0314
1FE6 = 03C5 0342
1FE7 = 03CB 0342
1FE7 = 03C5 0308 0342
1FE8 = 03A5 0306
1FE9 = 03A5 0304
1FEA = 03A5 0300
1FEB = 038E
1FEB = 03A5 0301
1FEC = 03A1 0314
1FED = 00A8 0300
1FEE = 0385
1FEE = 00A8 0301
1FEF = 0060
1FF2 = 1F7C 0345
1FF2 = 03C9 0300 0345
1FF3 = 03C9 0345
1FF4 = 03CE 0345
1FF4 = 03C9 0301 0345
1FF6 = 03C9 0342
1FF7 = 1FF6 0345
1FF7 = 03C9 0342 0345
1FF8 = 039F 0300
1FF9 = 038C
1FF9 = 039F 0301
1FFA = 03A9 0300
1FFB = 038F
1FFB = 03A9 0301
1FFC = 03A9 0345
1FFD = 00B4
2000 = 2002
2000 ! 0020
2001 = 2003
2001 ! 0020
2002 ! 0020 # <compat>
2003 ! 0020 # <compat>
2004 ! 0020 # <compat>
2005 ! 0020 # <compat>
2006 ! 0020 # <compat>
2007 ! 0020 # <noBreak>
2008 ! 0020 # <compat>
2009 ! 0020 # <compat>
200A ! 0020 # <compat>
2011 ! 2010 # <noBreak>
2024 ! 002E # <compat>
2025 ! 002E 002E # <compat>
2026 ! 002E 002E 002E # <compat>
202F ! 0020 # <noBreak>
2033 ! 2032 2032 # <compat>
2034 ! 2032 2032 2032 # <compat>
2036 ! 2035 2035 # <compat>
2037 ! 2035 2035 2035 # <compat>
203C ! 0021 0021 # <compat>
2047 ! 003F 003F # <compat>
2048 ! 003F 0021 # <compat>
2049 ! 0021 003F # <compat>
2057 ! 2032 2032 2032 2032 # <compat>
205F ! 0020 # <compat>
2D80 = E441 E437
2D81 = E443 E437
2D82 = E445 E437
2D84 = E447 E437
2D85 = E44C E437
2D86 = E44E E437
2D87 = E44F E437
2D88 = E452 E437
2D89 = E453 E437
2D8A = E454 E437
2D8B = E45B E437
2D8C = E45F E437
2D8D = E460 E437
2D8E = E461 E437
2D8F = E465 E437
2D90 = E466 E437
2D91 = E468 E437
2D92 = E46C E437
2D93 = E463 E438
2D94 = E463 E43A
2D95 = E463 E43C
2DA0 = E448 E430
2DA1 = E448 E431
2DA2 = E448 E432
2DA3 = E448 E433
2DA4 = E448 E434
2DA5 = E448 E435
2DA6 = E448 E436
2DA8 = E450 E430
2DA9 = E450 E431
2DAA = E450 E432
2DAB = E450 E433
2DAC = E450 E434
2DAD = E450 E435
2DAE = E450 E436
2DB0 = E4ED E430
2DB1 = E4ED E431
2DB2 = E4ED E432
2DB3 = E4ED E433
2DB4 = E4ED E434
2DB5 = E4ED E435
2DB6 = E4ED E436
2DB8 = E467 E430
2DB9 = E467 E431
2DBA = E467 E432
2DBB = E467 E433
2DBC = E467 E434
2DBD = E467 E435
2DBE = E467 E436
2DC0 = E44B E430
2DC1 = E44B E431
2DC2 = E44B E432
2DC3 = E44B E433
2DC4 = E44B E434
2DC5 = E44B E435
2DC6 = E44B E436
2DC8 = E456 E430
2DC9 = E456 E431
2DCA = E456 E432
2DCB = E456 E433
2DCC = E456 E434
2DCD = E456 E435
2DCE = E456 E436
2DD0 = E458 E430
2DD1 = E458 E431
2DD2 = E458 E432
2DD3 = E458 E433
2DD4 = E458 E434
2DD5 = E458 E435
2DD6 = E458 E436
2DD8 = E464 E430
2DD9 = E464 E431
2DDA = E464 E432
2DDB = E464 E433
2DDC = E464 E434
2DDD = E464 E435
2DDE = E464 E436
304C = 304B 3099
304E = 304D 3099
3050 = 304F 3099
3052 = 3051 3099
3054 = 3053 3099
3056 = 3055 3099
3058 = 3057 3099
305A = 3059 3099
305C = 305B 3099
305E = 305D 3099
3060 = 305F 3099
3062 = 3061 3099
3065 = 3064 3099
3067 = 3066 3099
3069 = 3068 3099
3070 = 306F 3099
3071 = 306F 309A
3073 = 3072 3099
3074 = 3072 309A
3076 = 3075 3099
3077 = 3075 309A
3079 = 3078 3099
307A = 3078 309A
307C = 307B 3099
307D = 307B 309A
3094 = 3046 3099
309E = 309D 3099
309F ! 3088 308A # <vertical>
30AC = 30AB 3099
30AE = 30AD 3099
30B0 = 30AF 3099
30B2 = 30B1 3099
30B4 = 30B3 3099
30B6 = 30B5 3099
30B8 = 30B7 3099
30BA = 30B9 3099
30BC = 30BB 3099
30BE = 30BD 3099
30C0 = 30BF 3099
30C2 = 30C1 3099
30C5 = 30C4 3099
30C7 = 30C6 3099
30C9 = 30C8 3099
30D0 = 30CF 3099
30D1 = 30CF 309A
30D3 = 30D2 3099
30D4 = 30D2 309A
30D6 = 30D5 3099
30D7 = 30D5 309A
30D9 = 30D8 3099
30DA = 30D8 309A
30DC = 30DB 3099
30DD = 30DB 309A
30F4 = 30A6 3099
30F7 = 30EF 3099
30F8 = 30F0 3099
30F9 = 30F1 3099
30FA = 30F2 3099
30FE = 30FD 3099
30FF ! 30B3 30C8 # <vertical>
3131 ! 1100 # <compat>
3132 ! 1101 # <compat>
3133 ! 11AA # <compat>
3134 ! 1102 # <compat>
3135 ! 11AC # <compat>
3136 ! 11AD # <compat>
3137 ! 1103 # <compat>
3138 ! 1104 # <compat>
3139 ! 1105 # <compat>
313A ! 11B0 # <compat>
313B ! 11B1 # <compat>
313C ! 11B2 # <compat>
313D ! 11B3 # <compat>
313E ! 11B4 # <compat>
313F ! 11B5 # <compat>
3140 ! 111A # <compat>
3141 ! 1106 # <compat>
3142 ! 1107 # <compat>
3143 ! 1108 # <compat>
3144 ! 1121 # <compat>
3145 ! 1109 # <compat>
3146 ! 110A # <compat>
3147 ! 110B # <compat>
3148 ! 110C # <compat>
3149 ! 110D # <compat>
314A ! 110E # <compat>
314B ! 110F # <compat>
314C ! 1110 # <compat>
314D ! 1111 # <compat>
314E ! 1112 # <compat>
314F ! 1161 # <compat>
3150 ! 1162 # <compat>
3151 ! 1163 # <compat>
3152 ! 1164 # <compat>
3153 ! 1165 # <compat>
3154 ! 1166 # <compat>
3155 ! 1167 # <compat>
3156 ! 1168 # <compat>
3157 ! 1169 # <compat>
3158 ! 116A # <compat>
3159 ! 116B # <compat>
315A ! 116C # <compat>
315B ! 116D # <compat>
315C ! 116E # <compat>
315D ! 116F # <compat>
315E ! 1170 # <compat>
315F ! 1171 # <compat>
3160 ! 1172 # <compat>
3161 ! 1173 # <compat>
3162 ! 1174 # <compat>
3163 ! 1175 # <compat>
3164 ! 1160 # <compat>
3165 ! 1114 # <compat>
3166 ! 1115 # <compat>
3167 ! 11C7 # <compat>
3168 ! 11C8 # <compat>
3169 ! 11CC # <compat>
316A ! 11CE # <compat>
316B ! 11D3 # <compat>
316C ! 11D7 # <compat>
316D ! 11D9 # <compat>
316E ! 111C # <compat>
316F ! 11DD # <compat>
3170 ! 11DF # <compat>
3171 ! 111D # <compat>
3172 ! 111E # <compat>
3173 ! 1120 # <compat>
3174 ! 1122 # <compat>
3175 ! 1123 # <compat>
3176 ! 1127 # <compat>
3177 ! 1129 # <compat>
3178 ! 112B # <compat>
3179 ! 112C # <compat>
317A ! 112D # <compat>
317B ! 112E # <compat>
317C ! 112F # <compat>
317D ! 1132 # <compat>
317E ! 1136 # <compat>
317F ! 1140 # <compat>
3180 ! 1147 # <compat>
3181 ! 114C # <compat>
3182 ! 11F1 # <compat>
3183 ! 11F2 # <compat>
3184 ! 1157 # <compat>
3185 ! 1158 # <compat>
3186 ! 1159 # <compat>
3187 ! 1184 # <compat>
3188 ! 1185 # <compat>
3189 ! 1188 # <compat>
318A ! 1191 # <compat>
318B ! 1192 # <compat>
318C ! 1194 # <compat>
318D ! 119E # <compat>
318E ! 11A1 # <compat>
E3C0 = 0410 0300
E3C1 = 0430 0300
E3C2 = 0410 0301
E3C3 = 0430 0301
E3C4 = 0410 0302
E3C5 = 0430 0302
E3C6 = 0410 030F
E3C7 = 0430 030F
E3C8 = 0415 0300
E3C9 = 0435 0300
E3CA = 0415 0301
E3CB = 0435 0301
E3CC = 0415 0302
E3CD = 0435 0302
E3CE = 0415 030F
E3CF = 0435 030F
E3D0 = 0418 0300
E3D1 = 0438 0300
E3D2 = 0418 0301
E3D3 = 0438 0301
E3D4 = 0418 0302
E3D5 = 0438 0302
E3D6 = 0418 030F
E3D7 = 0438 030F
E3D8 = 041E 0300
E3D9 = 043E 0300
E3DA = 041E 0301
E3DB = 043E 0301
E3DC = 041E 0302
E3DD = 043E 0302
E3DE = 041E 030F
E3DF = 043E 030F
E3E0 = 0423 0300
E3E1 = 0443 0300
E3E2 = 0423 0301
E3E3 = 0443 0301
E3E4 = 0423 0302
E3E5 = 0443 0302
E3E6 = 0423 030F
E3E7 = 0443 030F
FB00 ! 0066 0066 # <compat>
FB01 ! 0066 0069 # <compat>
FB02 ! 0066 006C # <compat>
FB03 ! 0066 0066 0069 # <compat>
FB04 ! 0066 0066 006C # <compat>
FB05 ! 017F 0074 # <compat>
FB05 ! 0073 0074 # <compat>
FB06 ! 0073 0074 # <compat>
FB13 ! 0574 0576 # <compat>
FB14 ! 0574 0565 # <compat>
FB15 ! 0574 056B # <compat>
FB16 ! 057E 0576 # <compat>
FB17 ! 0574 056D # <compat>
FB1D > 05D9 05B4
FB1F > 05F2 05B7
FB20 ! 05E2 # <font>
FB21 ! 05D0 # <font>
FB22 ! 05D3 # <font>
FB23 ! 05D4 # <font>
FB24 ! 05DB # <font>
FB25 ! 05DC # <font>
FB26 ! 05DD # <font>
FB27 ! 05E8 # <font>
FB28 ! 05EA # <font>
FB29 ! 002B # <font>
FB2A > 05E9 05C1
FB2B > 05E9 05C2
FB2C > FB49 05C1
FB2C > 05E9 05BC 05C1
FB2D > FB49 05C2
FB2D > 05E9 05BC 05C2
FB2E > 05D0 05B7
FB2F > 05D0 05B8
FB30 > 05D0 05BC
FB31 > 05D1 05BC
FB32 > 05D2 05BC
FB33 > 05D3 05BC
FB34 > 05D4 05BC
FB35 > 05D5 05BC
FB36 > 05D6 05BC
FB38 > 05D8 05BC
FB39 > 05D9 05BC
FB3A > 05DA 05BC
FB3B > 05DB 05BC
FB3C > 05DC 05BC
FB3E > 05DE 05BC
FB40 > 05E0 05BC
FB41 > 05E1 05BC
FB43 > 05E3 05BC
FB44 > 05E4 05BC
FB46 > 05E6 05BC
FB47 > 05E7 05BC
FB48 > 05E8 05BC
FB49 > 05E9 05BC
FB4A > 05EA 05BC
FB4B > 05D5 05B9
FB4C > 05D1 05BF
FB4D > 05DB 05BF
FB4E > 05E4 05BF
FB4F ! 05D0 05DC # <compat>
FB50 ! 0671 # <isolated>
FB51 ! 0671 # <final>
FB52 ! 067B # <isolated>
FB53 ! 067B # <final>
FB54 ! 067B # <initial>
FB55 ! 067B # <medial>
FB56 ! 067E # <isolated>
FB57 ! 067E # <final>
FB58 ! 067E # <initial>
FB59 ! 067E # <medial>
FB5A ! 0680 # <isolated>
FB5B ! 0680 # <final>
FB5C ! 0680 # <initial>
FB5D ! 0680 # <medial>
FB5E ! 067A # <isolated>
FB5F ! 067A # <final>
FB60 ! 067A # <initial>
FB61 ! 067A # <medial>
FB62 ! 067F # <isolated>
FB63 ! 067F # <final>
FB64 ! 067F # <initial>
FB65 ! 067F # <medial>
FB66 ! 0679 # <isolated>
FB67 ! 0679 # <final>
FB68 ! 0679 # <initial>
FB69 ! 0679 # <medial>
FB6A ! 06A4 # <isolated>
FB6B ! 06A4 # <final>
FB6C ! 06A4 # <initial>
FB6D ! 06A4 # <medial>
FB6E ! 06A6 # <isolated>
FB6F ! 06A6 # <final>
FB70 ! 06A6 # <initial>
FB71 ! 06A6 # <medial>
FB72 ! 0684 # <isolated>
FB73 ! 0684 # <final>
FB74 ! 0684 # <initial>
FB75 ! 0684 # <medial>
FB76 ! 0683 # <isolated>
FB77 ! 0683 # <final>
FB78 ! 0683 # <initial>
FB79 ! 0683 # <medial>
FB7A ! 0686 # <isolated>
FB7B ! 0686 # <final>
FB7C ! 0686 # <initial>
FB7D ! 0686 # <medial>
FB7E ! 0687 # <isolated>
FB7F ! 0687 # <final>
FB80 ! 0687 # <initial>
FB81 ! 0687 # <medial>
FB82 ! 068D # <isolated>
FB83 ! 068D # <final>
FB84 ! 068C # <isolated>
FB85 ! 068C # <final>
FB86 ! 068E # <isolated>
FB87 ! 068E # <final>
FB88 ! 0688 # <isolated>
FB89 ! 0688 # <final>
FB8A ! 0698 # <isolated>
FB8B ! 0698 # <final>
FB8C ! 0691 # <isolated>
FB8D ! 0691 # <final>
FB8E ! 06A9 # <isolated>
FB8F ! 06A9 # <final>
FB90 ! 06A9 # <initial>
FB91 ! 06A9 # <medial>
FB92 ! 06AF # <isolated>
FB93 ! 06AF # <final>
FB94 ! 06AF # <initial>
FB95 ! 06AF # <medial>
FB96 ! 06B3 # <isolated>
FB97 ! 06B3 # <final>
FB98 ! 06B3 # <initial>
FB99 ! 06B3 # <medial>
FB9A ! 06B1 # <isolated>
FB9B ! 06B1 # <final>
FB9C ! 06B1 # <initial>
FB9D ! 06B1 # <medial>
FB9E ! 06BA # <isolated>
FB9F ! 06BA # <final>
FBA0 ! 06BB # <isolated>
FBA1 ! 06BB # <final>
FBA2 ! 06BB # <initial>
FBA3 ! 06BB # <medial>
FBA4 ! 06C0 # <isolated>
FBA4 ! 06D5 0654 # <isolated>
FBA5 ! 06C0 # <final>
FBA5 ! 06D5 0654 # <final>
FBA6 ! 06C1 # <isolated>
FBA7 ! 06C1 # <final>
FBA8 ! 06C1 # <initial>
FBA9 ! 06C1 # <medial>
FBAA ! 06BE # <isolated>
FBAB ! 06BE # <final>
FBAC ! 06BE # <initial>
FBAD ! 06BE # <medial>
FBAE ! 06D2 # <isolated>
FBAF ! 06D2 # <final>
FBB0 ! 06D3 # <isolated>
FBB0 ! 06D2 0654 # <isolated>
FBB1 ! 06D3 # <final>
FBB1 ! 06D2 0654 # <final>
FBD3 ! 06AD # <isolated>
FBD4 ! 06AD # <final>
FBD5 ! 06AD # <initial>
FBD6 ! 06AD # <medial>
FBD7 ! 06C7 # <isolated>
FBD8 ! 06C7 # <final>
FBD9 ! 06C6 # <isolated>
FBDA ! 06C6 # <final>
FBDB ! 06C8 # <isolated>
FBDC ! 06C8 # <final>
FBDD ! 0677 # <isolated>
FBDD ! 06C7 0674 # <isolated>
FBDE ! 06CB # <isolated>
FBDF ! 06CB # <final>
FBE0 ! 06C5 # <isolated>
FBE1 ! 06C5 # <final>
FBE2 ! 06C9 # <isolated>
FBE3 ! 06C9 # <final>
FBE4 ! 06D0 # <isolated>
FBE5 ! 06D0 # <final>
FBE6 ! 06D0 # <initial>
FBE7 ! 06D0 # <medial>
FBE8 ! 0649 # <initial>
FBE9 ! 0649 # <medial>
FBEA ! 0626 0627 # <isolated>
FBEA ! 064A 0654 0627 # <isolated>
FBEB ! 0626 0627 # <final>
FBEB ! 064A 0654 0627 # <final>
FBEC ! 0626 06D5 # <isolated>
FBEC ! 064A 0654 06D5 # <isolated>
FBED ! 0626 06D5 # <final>
FBED ! 064A 0654 06D5 # <final>
FBEE ! 0626 0648 # <isolated>
FBEE ! 064A 0654 0648 # <isolated>
FBEF ! 0626 0648 # <final>
FBEF ! 064A 0654 0648 # <final>
FBF0 ! 0626 06C7 # <isolated>
FBF0 ! 064A 0654 06C7 # <isolated>
FBF1 ! 0626 06C7 # <final>
FBF1 ! 064A 0654 06C7 # <final>
FBF2 ! 0626 06C6 # <isolated>
FBF2 ! 064A 0654 06C6 # <isolated>
FBF3 ! 0626 06C6 # <final>
FBF3 ! 064A 0654 06C6 # <final>
FBF4 ! 0626 06C8 # <isolated>
FBF4 ! 064A 0654 06C8 # <isolated>
FBF5 ! 0626 06C8 # <final>
FBF5 ! 064A 0654 06C8 # <final>
FBF6 ! 0626 06D0 # <isolated>
FBF6 ! 064A 0654 06D0 # <isolated>
FBF7 ! 0626 06D0 # <final>
FBF7 ! 064A 0654 06D0 # <final>
FBF8 ! 0626 06D0 # <initial>
FBF8 ! 064A 0654 06D0 # <initial>
FBF9 ! 0626 0649 # <isolated>
FBF9 ! 064A 0654 0649 # <isolated>
FBFA ! 0626 0649 # <final>
FBFA ! 064A 0654 0649 # <final>
FBFB ! 0626 0649 # <initial>
FBFB ! 064A 0654 0649 # <initial>
FBFC ! 06CC # <isolated>
FBFD ! 06CC # <final>
FBFE ! 06CC # <initial>
FBFF ! 06CC # <medial>
FC00 ! 0626 062C # <isolated>
FC00 ! 064A 0654 062C # <isolated>
FC01 ! 0626 062D # <isolated>
FC01 ! 064A 0654 062D # <isolated>
FC02 ! 0626 0645 # <isolated>
FC02 ! 064A 0654 0645 # <isolated>
FC03 ! 0626 0649 # <isolated>
FC03 ! 064A 0654 0649 # <isolated>
FC04 ! 0626 064A # <isolated>
FC04 ! 064A 0654 064A # <isolated>
FC05 ! 0628 062C # <isolated>
FC06 ! 0628 062D # <isolated>
FC07 ! 0628 062E # <isolated>
FC08 ! 0628 0645 # <isolated>
FC09 ! 0628 0649 # <isolated>
